komentar,tokens,cleaned
"bentuk dan ukuran: bentuk tidak sesuai yang di iklan waktu order,dan ukurannya kekecilan padahal sudah ambil no paling besar 43","['bentuk', 'ukur', 'bentuk', 'sesuai', 'iklan', 'waktu', 'order dan', 'ukur', 'kecil', 'ambil', 'no', '43']",bentuk ukur bentuk sesuai iklan waktu order dan ukur kecil ambil no 43
"maaf terlambat berikan ulasan, karna baru plg dr luar kota. sepatunya warna cocok sama di iklan, tapi sol nya sangat keras, ngk bisa dipakai untuk olah raga..","['maaf', 'lambat', 'ulas', 'karna', 'plg', 'dr', 'kota', 'sepatu', 'warna', 'cocok', 'iklan', 'sol', 'keras', 'ngk', 'pakai', 'olah', 'raga']",maaf lambat ulas karna plg dr kota sepatu warna cocok iklan sol keras ngk pakai olah raga
"barang sudah sampai cepat sekali sehari sampai, terimakasih buat kurirnya juga","['barang', 'cepat', 'hari', 'sampai', 'terimakasih', 'kurir']",barang cepat hari sampai terimakasih kurir
"bentuk dan ukuran: pas aroma: seperti aroma sepatu baru daya tahan pakai: baru mau dicoba, semoga awet","['bentuk', 'ukur', 'pas', 'aroma', 'aroma', 'sepatu', 'daya', 'tahan', 'pakai', 'coba', 'moga', 'awet']",bentuk ukur pas aroma aroma sepatu daya tahan pakai coba moga awet
barang kw jelek kain robek pokoknya jelek parah sepatu kw kemasan g aman jahitan g bener tali s patunya lain pokoknya g rekomend sih beli sepatu disini hancur(jelek) parah barangnya,"['barang', 'kw', 'jelek', 'kain', 'robek', 'pokok', 'jelek', 'parah', 'sepatu', 'kw', 'kemas', 'aman', 'jahit', 'bener', 'tali', 'patunya', 'pokok', 'rekomend', 'sih', 'beli', 'sepatu', 'hancur jelek', 'parah', 'barang']",barang kw jelek kain robek pokok jelek parah sepatu kw kemas aman jahit bener tali patunya pokok rekomend sih beli sepatu hancur jelek parah barang
alhamdulillah packet saya suda sampai toko ny smbgat amana saya puas sekali sama produk ny trimaran kasi,"['alhamdulillah', 'packet', 'suda', 'toko', 'ny', 'smbgat', 'amana', 'puas', 'produk', 'ny', 'trimaran', 'kasi']",alhamdulillah packet suda toko ny smbgat amana puas produk ny trimaran kasi
warna: sudah cocok sesuai yang di pesanan bentuk dan ukuran: kurang lebar jdi kaki susah buat masuk,"['warna', 'cocok', 'sesuai', 'pesan', 'bentuk', 'ukur', 'lebar', 'jdi', 'kaki', 'susah']",warna cocok sesuai pesan bentuk ukur lebar jdi kaki susah
lumayan sesuai harga dan kurir yang mengantarnya baik dan ramah sukses selalu buat para kurir j&t terimakasih,"['lumayan', 'sesuai', 'harga', 'kurir', 'antar', 'ramah', 'sukses', 'kurir', 'j t', 'terimakasih']",lumayan sesuai harga kurir antar ramah sukses kurir j t terimakasih
"hargax murah tapi kualitasx tidak murahan,bgus bgt..next order lagi,mkasih seller dan abang kurir🙏","['hargax', 'murah', 'kualitasx', 'murah bgus', 'bgt next', 'order', 'lagi mkasih', 'seller', 'abang', 'kurir']",hargax murah kualitasx murah bgus bgt next order lagi mkasih seller abang kurir
paket sudah sampe trimksh bnyk buat toko nya sangat amanah bisa buat langanan klo toko nya sudah amanah 👍👍👍👍👍,"['paket', 'sampe', 'trimksh', 'bnyk', 'toko', 'amanah', 'langanan', 'klo', 'toko', 'amanah', '']",paket sampe trimksh bnyk toko amanah langanan klo toko amanah 
"dtng barang cepat,kliatan ny bagus tapi kwalitas kurang bagus d pake ny kaku","['dtng', 'barang', 'cepat kliatan', 'ny', 'bagus', 'kwalitas', 'bagus', 'pake', 'ny', 'kaku']",dtng barang cepat kliatan ny bagus kwalitas bagus pake ny kaku
