K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,F1_Score_Asli,F1_Score_Palsu,F1_Macro,Confusion_Flat
3,2,30,64,0.5,0.8737443089485168,0.8301346302032471,0.8412017226219177,0.3083103597164154,0.3969265222549438,0.8673359437430228,0.8301346319106273,0.866351138156412,0.7669941060903733,0.8166726221233926,"[[1922, 511], [82, 976]]"
3,3,30,64,0.5,0.8697488307952881,0.8582068085670471,0.8769670724868774,0.3062411546707153,0.3181698620319366,0.8732280076237414,0.8582068175307934,0.8931116389548693,0.7894512973202893,0.8412814681375793,"[[2068, 365], [130, 928]]"
5,1,10,16,0.2,0.8670091032981873,0.844391405582428,0.8472553491592407,0.3250158429145813,0.3355389833450317,0.8609820051167345,0.8443914081145585,0.8823953823953824,0.770098730606488,0.8262470565009352,"[[1223, 237], [89, 546]]"
5,2,10,16,0.2,0.8659626841545105,0.8448687195777893,0.825775682926178,0.3195095956325531,0.3591561317443847,0.8752558700670905,0.8448687350835322,0.8793167471221686,0.7828991315965264,0.8311079393593475,"[[1184, 276], [49, 586]]"
5,3,10,16,0.2,0.8661529421806335,0.8248209953308105,0.8472553491592407,0.3177398443222046,0.3954060077667236,0.8583911899177078,0.8248210023866348,0.8631107795598657,0.7567925778661365,0.8099516787130011,"[[1157, 303], [64, 571]]"
5,4,10,16,0.2,0.8404680490493774,0.8181384205818176,0.8221957087516785,0.3693972527980804,0.4131320714950561,0.863653847381179,0.8181384248210024,0.8549676437000381,0.7562380038387716,0.8056028237694048,"[[1123, 337], [44, 591]]"
5,5,10,16,0.2,0.83875572681427,0.8361986875534058,0.8400954604148865,0.3806596994400024,0.3764930367469787,0.85206856319353,0.8361986628462273,0.8765743073047859,0.7565649396735273,0.8165696234891566,"[[1218, 242], [101, 533]]"
5,1,10,16,0.3,0.8524543642997742,0.8386634588241577,0.8305489420890808,0.344763696193695,0.3645385205745697,0.875234236448645,0.8386634844868736,0.8731231231231231,0.7785058977719528,0.825814510447538,"[[1163, 297], [41, 594]]"
5,2,10,16,0.3,0.8613964915275574,0.8477327227592468,0.8245823383331299,0.3292069137096405,0.3429961502552032,0.8678577545839818,0.8477326968973747,0.8839578028373954,0.7786259541984732,0.8312918785179344,"[[1215, 245], [74, 561]]"
5,3,10,16,0.3,0.842751145362854,0.8157517910003662,0.819809079170227,0.376503974199295,0.3967858254909515,0.8451745525159988,0.8157517899761336,0.8572485207100592,0.7402422611036339,0.7987453909068465,"[[1159, 301], [85, 550]]"
5,4,10,16,0.3,0.827625572681427,0.8295942544937134,0.819809079170227,0.3954085409641266,0.3880086243152618,0.8642047519301563,0.8295942720763723,0.8665420560747663,0.7643564356435644,0.8154492458591653,"[[1159, 301], [56, 579]]"
5,5,10,16,0.3,0.82781583070755,0.8242598176002502,0.8162291049957275,0.4018219709396362,0.3813316524028778,0.8419640188147263,0.8242597898758357,0.8671480144404332,0.7404795486600846,0.8038137815502588,"[[1201, 259], [109, 525]]"
