K,Fold,Epoch,Batch,Dropout,Confusion_Flat
10,9,30,32,0.5,"[[591, 139], [19, 298]]"
10,10,30,32,0.5,"[[623, 107], [53, 264]]"
10,1,30,64,0.2,"[[630, 100], [29, 289]]"
10,2,30,64,0.2,"[[609, 121], [30, 288]]"
10,3,30,64,0.2,"[[604, 126], [13, 305]]"
10,4,30,64,0.2,"[[610, 120], [35, 283]]"
10,5,30,64,0.2,"[[637, 93], [50, 267]]"
10,6,30,64,0.2,"[[616, 114], [40, 277]]"
10,7,30,64,0.2,"[[640, 90], [38, 279]]"
10,8,30,64,0.2,"[[612, 118], [24, 293]]"
10,9,30,64,0.2,"[[660, 70], [54, 263]]"
10,10,30,64,0.2,"[[628, 102], [51, 266]]"
10,1,30,64,0.3,"[[642, 88], [33, 285]]"
10,2,30,64,0.3,"[[607, 123], [31, 287]]"
10,3,30,64,0.3,"[[639, 91], [29, 289]]"
10,4,30,64,0.3,"[[627, 103], [38, 280]]"
