komentar,cleaned,tokens,normalized,stemmed,cleaned_final
Tolong kasih judul kl ini replika,tolong kasih judul kl ini replika,"['tolong', 'kasih', 'judul', 'kl', 'ini', 'replika']","['tolong', 'kasih', 'judul', 'kl', 'ini', 'replika']","['tolong', 'kasih', 'judul', 'kl', 'ini', 'replika']",tolong kasih judul kl ini replika
lumayam untuk harga segitu...,lumayam untuk harga segitu,"['lumayam', 'untuk', 'harga', 'segitu']","['lumayam', 'untuk', 'harga', 'segitu']","['lumayam', 'untuk', 'harga', 'segitu']",lumayam untuk harga segitu
sesuai kwalitas harga.,sesuai kwalitas harga,"['sesuai', 'kwalitas', 'harga']","['sesuai', 'kualitas', 'harga']","['sesuai', 'kualitas', 'harga']",sesuai kualitas harga
"sudah sampai, sesuai",sudah sampai sesuai,"['sudah', 'sampai', 'sesuai']","['sudah', 'sampai', 'sesuai']","['sudah', 'sampai', 'sesuai']",sudah sampai sesuai
"admin rese, no ramah..",admin rese no ramah,"['admin', 'rese', 'no', 'ramah']","['admin', 'rese', 'no', 'ramah']","['admin', 'rese', 'no', 'ramah']",admin rese no ramah
Keren sesuai pesanan,keren sesuai pesanan,"['keren', 'sesuai', 'pesanan']","['keren', 'sesuai', 'pesanan']","['keren', 'sesuai', 'pesan']",keren sesuai pesan
"Bagus, kokoh, empuk",bagus kokoh empuk,"['bagus', 'kokoh', 'empuk']","['bagus', 'kokoh', 'empuk']","['bagus', 'kokoh', 'empuk']",bagus kokoh empuk
sesuai dengan harga,sesuai dengan harga,"['sesuai', 'dengan', 'harga']","['sesuai', 'dengan', 'harga']","['sesuai', 'dengan', 'harga']",sesuai dengan harga
Bagus.,bagus,['bagus'],['bagus'],['bagus'],bagus
Tali sepatu kurang,tali sepatu kurang,"['tali', 'sepatu', 'kurang']","['tali', 'sepatu', 'kurang']","['tali', 'sepatu', 'kurang']",tali sepatu kurang
"oke, semoga awet",oke semoga awet,"['oke', 'semoga', 'awet']","['oke', 'semoga', 'awet']","['oke', 'moga', 'awet']",oke moga awet
"mantap ukuran pas ,",mantap ukuran pas,"['mantap', 'ukuran', 'pas']","['mantap', 'ukuran', 'pas']","['mantap', 'ukur', 'pas']",mantap ukur pas
mantap pokoe,mantap pokoe,"['mantap', 'pokoe']","['mantap', 'pokoe']","['mantap', 'pokoe']",mantap pokoe
Mantappp,mantappp,['mantappp'],['mantappp'],['mantappp'],mantappp
Worth it lah..,worth it lah,"['worth', 'it', 'lah']","['worth', 'it', 'lah']","['worth', 'it', 'lah']",worth it lah
Brg lama tibanya,brg lama tibanya,"['brg', 'lama', 'tibanya']","['barang', 'lama', 'tibanya']","['barang', 'lama', 'tiba']",barang lama tiba
kerem,kerem,['kerem'],['kerem'],['rem'],rem
barang sesuai pict semoga awet,barang sesuai pict semoga awet,"['barang', 'sesuai', 'pict', 'semoga', 'awet']","['barang', 'sesuai', 'pict', 'semoga', 'awet']","['barang', 'sesuai', 'pict', 'moga', 'awet']",barang sesuai pict moga awet
thks u,thks u,"['thks', 'u']","['thks', 'u']","['thks', 'u']",thks u
warna bagus dan.murah,warna bagus dan murah,"['warna', 'bagus', 'dan', 'murah']","['warna', 'bagus', 'dan', 'murah']","['warna', 'bagus', 'dan', 'murah']",warna bagus dan murah
sesuai harga barang,sesuai harga barang,"['sesuai', 'harga', 'barang']","['sesuai', 'harga', 'barang']","['sesuai', 'harga', 'barang']",sesuai harga barang
lumayanlah,lumayanlah,['lumayanlah'],['lumayanlah'],['lumayan'],lumayan
"jos , mantap",jos mantap,"['jos', 'mantap']","['jos', 'mantap']","['jos', 'mantap']",jos mantap
bagus dengan harga tersebut,bagus dengan harga tersebut,"['bagus', 'dengan', 'harga', 'tersebut']","['bagus', 'dengan', 'harga', 'tersebut']","['bagus', 'dengan', 'harga', 'sebut']",bagus dengan harga sebut
mantap 👍👍👍👍👍👍👍🙏,mantap,['mantap'],['mantap'],['mantap'],mantap
